epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.1271208,0.31393814,0.12846707,0.1171875,0.86328125,1646721864,76
1,0.088853955,0.24325165,0.34816635,0.65625,0.54296875,1646721866,78
2,0.06937078,0.27034602,0.16131063,0.1328125,0.8515625,1646721868,80
3,0.07353084,0.2577017,0.21007027,0.25,0.73828125,1646721870,81
4,0.062302362,0.25440738,0.23059458,0.359375,0.66796875,1646721871,83
5,0.065414995,0.26338956,0.23028275,0.328125,0.6796875,1646721873,85
6,0.077396296,0.27152306,0.39722267,0.96875,0.03515625,1646721875,87
7,0.07612095,0.2543127,0.29749966,0.7421875,0.22265625,1646721877,89
8,0.052007746,0.262741,0.18937196,0.20703125,0.7734375,1646721878,90
9,0.065492354,0.25102162,0.27784485,0.6953125,0.3203125,1646721880,92
10,0.05767205,0.25161508,0.24183646,0.34765625,0.640625,1646721882,94
11,0.05219432,0.25383186,0.21559921,0.14453125,0.8515625,1646721884,96
12,0.046996158,0.2521493,0.28923717,0.8515625,0.14453125,1646721886,98
13,0.06340766,0.25191233,0.22533584,0.17578125,0.83203125,1646721888,100
14,0.042888653,0.25084752,0.24390969,0.31640625,0.7265625,1646721889,101
15,0.04388132,0.25563875,0.30950618,0.86328125,0.140625,1646721891,103
16,0.04620145,0.25017348,0.25449938,0.50390625,0.49609375,1646721893,105
17,0.058424752,0.249243,0.26866642,0.6875,0.35546875,1646721895,107
18,0.047492914,0.2489925,0.24195886,0.4453125,0.61328125,1646721896,108
19,0.041721176,0.24123304,0.26927313,0.54296875,0.609375,1646721898,110
20,0.046964556,0.2344921,0.27772126,0.62109375,0.6015625,1646721900,112
21,0.036448687,0.22945447,0.275897,0.515625,0.73828125,1646721902,114
22,0.04492545,0.22852081,0.29070365,0.53515625,0.69921875,1646721904,116
23,0.050320715,0.21826416,0.3573705,0.671875,0.609375,1646721905,117
24,0.043133914,0.22188161,0.37995496,0.82421875,0.48828125,1646721907,119
25,0.050588638,0.21033633,0.37289318,0.6328125,0.6875,1646721909,121
26,0.03533203,0.20709834,0.32397258,0.6171875,0.74609375,1646721911,123
27,0.041838747,0.21184462,0.3929068,0.72265625,0.6484375,1646721913,125
28,0.03743642,0.20763594,0.3363118,0.66796875,0.640625,1646721915,127
29,0.03628043,0.19787513,0.3411958,0.6640625,0.703125,1646721916,128
30,0.044088297,0.19787909,0.36855438,0.6328125,0.79296875,1646721918,130
31,0.038551487,0.19857988,0.39177272,0.640625,0.7578125,1646721920,132
32,0.047287744,0.2034485,0.30325243,0.55859375,0.78125,1646721922,134
33,0.04189431,0.20961274,0.49191445,0.8671875,0.515625,1646721924,136
34,0.04144854,0.20089382,0.45849228,0.78125,0.60546875,1646721926,138
35,0.047462042,0.19263482,0.39444917,0.75,0.71484375,1646721927,139
36,0.035471454,0.1958529,0.47016534,0.8125,0.609375,1646721929,141
37,0.037464797,0.18809706,0.34213936,0.6328125,0.828125,1646721931,143
38,0.0355039,0.19566199,0.34182748,0.58203125,0.79296875,1646721933,145
39,0.031579744,0.20614621,0.30177557,0.5078125,0.86328125,1646721935,147
40,0.03472679,0.1902909,0.39445168,0.6875,0.7109375,1646721937,149
41,0.032062955,0.18735439,0.41677877,0.75,0.734375,1646721939,151
42,0.034549516,0.19466352,0.38977697,0.64453125,0.75390625,1646721941,153
43,0.03899865,0.19507305,0.55462825,0.85546875,0.58203125,1646721942,154
44,0.032948963,0.1974796,0.5542936,0.80859375,0.55078125,1646721944,156
45,0.036110654,0.18923853,0.4239995,0.703125,0.76171875,1646721946,158
46,0.03090975,0.192763,0.46435288,0.74609375,0.6640625,1646721948,160
47,0.03737394,0.18794063,0.44910502,0.76171875,0.66796875,1646721950,162
48,0.038607918,0.18864685,0.4068662,0.66796875,0.78515625,1646721952,164
49,0.037241265,0.18009308,0.3515442,0.640625,0.84765625,1646721954,166
50,0.03750617,0.1783613,0.41605103,0.76171875,0.70703125,1646721956,167
51,0.03041852,0.18558523,0.492698,0.82421875,0.6171875,1646721957,169
52,0.034602053,0.18083158,0.48834938,0.84375,0.6328125,1646721959,171
53,0.03847276,0.17907849,0.5129141,0.72265625,0.75390625,1646721961,173
54,0.03198045,0.17532772,0.42989537,0.6953125,0.80859375,1646721963,175
55,0.032091327,0.17306098,0.5494145,0.83984375,0.64453125,1646721965,177
56,0.031264722,0.17570584,0.441696,0.69140625,0.78125,1646721967,178
57,0.031360567,0.17466334,0.37748796,0.65234375,0.8359375,1646721969,180
58,0.031278357,0.16968285,0.48389438,0.75,0.7734375,1646721970,182
59,0.030824473,0.17196685,0.4958394,0.83984375,0.6796875,1646721972,184
60,0.034904897,0.17206481,0.46765754,0.71875,0.7734375,1646721974,186
61,0.035137534,0.17673382,0.50466716,0.80859375,0.69140625,1646721976,188
62,0.037136395,0.16690633,0.50291145,0.80078125,0.72265625,1646721978,190
63,0.037484605,0.18380475,0.36243984,0.64453125,0.8359375,1646721980,192
64,0.029267533,0.16820559,0.54513633,0.8203125,0.703125,1646721982,194
65,0.039479434,0.17755903,0.35591942,0.53125,0.9140625,1646721984,196
66,0.030712679,0.16295663,0.5738084,0.86328125,0.71875,1646721986,198
67,0.034361523,0.15883294,0.5740209,0.84375,0.7109375,1646721988,200
68,0.031375594,0.16650447,0.49445873,0.796875,0.71484375,1646721990,202
69,0.03339786,0.15857515,0.5675182,0.84765625,0.72265625,1646721993,204
70,0.033173718,0.15973455,0.50092024,0.80078125,0.76171875,1646721995,207
71,0.030574791,0.14994363,0.4760312,0.74609375,0.81640625,1646721997,209
72,0.033563994,0.1611289,0.54062754,0.78515625,0.765625,1646721999,211
73,0.03663607,0.16100568,0.6472777,0.8828125,0.70703125,1646722001,213
74,0.033588823,0.1505965,0.5100597,0.765625,0.8203125,1646722003,215
75,0.034964304,0.1701882,0.42970252,0.66015625,0.859375,1646722005,217
76,0.028666403,0.15374793,0.513388,0.7734375,0.7890625,1646722007,219
77,0.033204485,0.15543407,0.55694747,0.79296875,0.7734375,1646722010,222
78,0.03414596,0.15421607,0.52990234,0.80859375,0.7578125,1646722012,224
79,0.03176453,0.15420876,0.45201886,0.66796875,0.8828125,1646722014,226
80,0.03059416,0.17603272,0.6235416,0.890625,0.59375,1646722016,228
81,0.037674494,0.15223247,0.6039324,0.83984375,0.7421875,1646722019,231
82,0.031204654,0.15777361,0.6033407,0.83984375,0.7265625,1646722021,233
83,0.03845285,0.17244329,0.65743923,0.8515625,0.6640625,1646722023,235
84,0.036159106,0.15538488,0.5363998,0.80859375,0.7734375,1646722025,237
85,0.033752732,0.15558216,0.5860624,0.78515625,0.78125,1646722027,239
86,0.028921014,0.14786114,0.53565633,0.81640625,0.77734375,1646722029,241
87,0.030874435,0.1570685,0.54663074,0.765625,0.77734375,1646722032,244
88,0.03256087,0.1511628,0.4979425,0.75390625,0.84765625,1646722034,246
89,0.036883153,0.14463256,0.60423464,0.84765625,0.73046875,1646722036,248
90,0.03601025,0.16749904,0.45045507,0.61328125,0.8984375,1646722039,251
91,0.030465748,0.14802627,0.61050975,0.8515625,0.75390625,1646722041,253
92,0.030712714,0.16220984,0.61757916,0.81640625,0.72265625,1646722043,255
93,0.029378906,0.15489012,0.5933745,0.81640625,0.72265625,1646722045,257
94,0.030060975,0.15769225,0.49435195,0.72265625,0.8203125,1646722047,259
95,0.028517306,0.14952059,0.517582,0.77734375,0.80859375,1646722050,261
96,0.03292668,0.15303032,0.51661205,0.79296875,0.78125,1646722052,264
97,0.03539647,0.15117136,0.6090538,0.84375,0.75,1646722054,266
98,0.03114844,0.15246177,0.48812482,0.6875,0.88671875,1646722056,268
99,0.028988829,0.14765,0.5109183,0.7890625,0.8125,1646722058,270
100,0.04007545,0.15414663,0.54425037,0.765625,0.8046875,1646722060,272
101,0.02986918,0.15666163,0.6701788,0.8828125,0.703125,1646722063,275
102,0.031349003,0.1511846,0.5777953,0.8515625,0.76171875,1646722065,277
103,0.028942939,0.14988305,0.49053258,0.765625,0.8203125,1646722067,279
104,0.03542001,0.15816034,0.6534422,0.83984375,0.73046875,1646722069,281
105,0.029966436,0.14713281,0.5416919,0.75390625,0.8359375,1646722071,283
106,0.030807257,0.14421867,0.65234005,0.890625,0.7578125,1646722073,285
107,0.033555105,0.16514881,0.4509576,0.68359375,0.8671875,1646722075,287
108,0.028850883,0.15581149,0.5600366,0.81640625,0.76171875,1646722077,289
109,0.030657593,0.14413798,0.5933186,0.796875,0.80859375,1646722080,292
110,0.036056384,0.14335793,0.5849713,0.81640625,0.828125,1646722082,294
111,0.032790624,0.14183058,0.5921593,0.7890625,0.82421875,1646722084,296
112,0.03658983,0.15385614,0.5495361,0.7578125,0.78515625,1646722086,298
113,0.030915972,0.15453964,0.49630398,0.70703125,0.8671875,1646722088,300
114,0.035662614,0.15749548,0.6218924,0.8046875,0.7421875,1646722090,302
115,0.027150154,0.14396584,0.53950703,0.8046875,0.8046875,1646722093,304
116,0.032309677,0.14861387,0.5021433,0.75,0.84375,1646722095,307
117,0.031628318,0.15270488,0.47669116,0.67578125,0.86328125,1646722097,309
118,0.033342596,0.15713313,0.48501223,0.65625,0.83984375,1646722099,311
119,0.032627888,0.15135483,0.539472,0.765625,0.82421875,1646722101,313
120,0.028669527,0.15895122,0.5041128,0.75,0.80078125,1646722103,315
121,0.032239433,0.14745554,0.66825396,0.875,0.69921875,1646722106,317
122,0.02471438,0.15153702,0.45915988,0.72265625,0.88671875,1646722108,320
123,0.035808887,0.14731264,0.44464216,0.76953125,0.83984375,1646722110,322
124,0.027869817,0.15489884,0.61002827,0.87109375,0.69140625,1646722112,324
125,0.026507448,0.18507507,0.37403384,0.5625,0.90625,1646722114,326
126,0.027321469,0.15705475,0.48235875,0.72265625,0.83984375,1646722116,328
127,0.033772185,0.15852144,0.56021714,0.7421875,0.81640625,1646722119,330
128,0.0325834,0.15153524,0.648196,0.88671875,0.6875,1646722121,333
129,0.0344672,0.15281367,0.5161667,0.78125,0.7734375,1646722123,335
130,0.030737495,0.14011535,0.46594632,0.75,0.86328125,1646722125,337
131,0.03135241,0.15555623,0.5831693,0.78125,0.78515625,1646722127,339
132,0.027901277,0.15526526,0.5267787,0.77734375,0.78125,1646722129,341
133,0.02998825,0.16262802,0.43664598,0.68359375,0.89453125,1646722132,343
134,0.035345405,0.1543866,0.60535306,0.8671875,0.7265625,1646722134,346
135,0.027519152,0.1501529,0.5872009,0.7890625,0.7421875,1646722136,348
136,0.029820077,0.1505855,0.5342706,0.82421875,0.7734375,1646722138,350
137,0.02797407,0.15075351,0.5401022,0.74609375,0.79296875,1646722140,352
138,0.02639271,0.15131295,0.66994923,0.8828125,0.7421875,1646722142,354
139,0.027375793,0.14948845,0.6709511,0.875,0.72265625,1646722145,356
140,0.029207084,0.15360823,0.5140891,0.73828125,0.83984375,1646722147,359
141,0.02861856,0.15208915,0.57630694,0.8125,0.75,1646722149,361
142,0.028022444,0.15619111,0.48318648,0.66796875,0.8671875,1646722151,363
143,0.03169215,0.15196827,0.61111253,0.84765625,0.75390625,1646722153,365
144,0.029079676,0.15148157,0.57168674,0.84375,0.7578125,1646722155,367
145,0.030942624,0.1620058,0.611343,0.796875,0.7421875,1646722157,369
146,0.032468423,0.156741,0.46805024,0.66796875,0.84375,1646722160,372
147,0.029902263,0.16144158,0.520392,0.7890625,0.7578125,1646722162,374
148,0.029915478,0.14959387,0.63602847,0.875,0.7265625,1646722164,376
149,0.026602905,0.14686729,0.60249513,0.87109375,0.7421875,1646722166,378
150,0.030753305,0.15894891,0.5477188,0.78515625,0.75,1646722168,380
151,0.030375518,0.15489134,0.5540312,0.7734375,0.81640625,1646722170,382
152,0.03179308,0.16184519,0.44795445,0.66015625,0.84765625,1646722172,384
153,0.03102867,0.1451053,0.524977,0.78125,0.82421875,1646722174,386
154,0.030910356,0.15969276,0.6463119,0.86328125,0.6796875,1646722177,388
155,0.035605185,0.14553224,0.58400375,0.87890625,0.75390625,1646722179,391
156,0.028417623,0.16023304,0.45450994,0.6875,0.84375,1646722181,393
157,0.030284798,0.1451318,0.50332844,0.828125,0.828125,1646722183,395
158,0.031033484,0.13981545,0.4883566,0.72265625,0.88671875,1646722185,397
159,0.027831083,0.15336935,0.5122915,0.78125,0.82421875,1646722188,399
160,0.02634054,0.16043049,0.58712596,0.8046875,0.75,1646722190,402
161,0.025168395,0.14948006,0.41272718,0.66796875,0.89453125,1646722192,404
162,0.029150818,0.16646712,0.53190255,0.734375,0.80078125,1646722194,406
163,0.029079895,0.17247736,0.60558575,0.828125,0.65234375,1646722197,408
164,0.025437227,0.16112053,0.5206524,0.79296875,0.7421875,1646722198,410
165,0.029106751,0.15764822,0.54453784,0.77734375,0.79296875,1646722201,412
166,0.025640156,0.17911625,0.38504937,0.59765625,0.8671875,1646722203,415
167,0.02723623,0.15115078,0.59233433,0.8203125,0.74609375,1646722205,417
168,0.02768436,0.14835998,0.5009978,0.74609375,0.8203125,1646722207,419
169,0.030407764,0.14843136,0.56954,0.8203125,0.78515625,1646722210,422
170,0.02584882,0.15267664,0.458682,0.69921875,0.8828125,1646722212,424
171,0.026807358,0.16878003,0.65178925,0.8984375,0.6171875,1646722214,426
172,0.023740519,0.16345145,0.5397804,0.765625,0.82421875,1646722216,428
173,0.027316786,0.15324338,0.53800213,0.765625,0.82421875,1646722219,431
174,0.0436896,0.15975964,0.59986085,0.828125,0.7421875,1646722221,433
175,0.028635819,0.15129954,0.60199845,0.82421875,0.82421875,1646722223,435
176,0.03023198,0.15752366,0.46587297,0.74609375,0.81640625,1646722225,437
177,0.027124865,0.15136413,0.5378143,0.8359375,0.75390625,1646722227,439
178,0.02737466,0.16148755,0.42053992,0.67578125,0.875,1646722230,442
179,0.02593987,0.144624,0.44971702,0.796875,0.8203125,1646722232,444
180,0.028013155,0.15755302,0.49684232,0.69921875,0.80078125,1646722234,446
181,0.02913317,0.17109406,0.4132419,0.6484375,0.8203125,1646722236,448
182,0.032343097,0.15762913,0.51874137,0.79296875,0.72265625,1646722238,450
183,0.024736976,0.1688835,0.46292716,0.703125,0.8125,1646722240,452
184,0.02851963,0.15583614,0.55444515,0.84375,0.76953125,1646722242,454
185,0.028874977,0.15787008,0.54814655,0.7890625,0.7578125,1646722245,457
186,0.027611759,0.15930808,0.5867986,0.80078125,0.7578125,1646722247,459
187,0.031032447,0.15602908,0.6100248,0.8515625,0.6953125,1646722249,461
188,0.025219506,0.15561298,0.4546045,0.72265625,0.84765625,1646722251,463
189,0.029947713,0.17813635,0.3824989,0.6015625,0.8671875,1646722253,465
190,0.030023381,0.16094857,0.52580696,0.80078125,0.77734375,1646722255,467
191,0.031828284,0.16063118,0.48517123,0.80078125,0.77734375,1646722258,470
192,0.024589479,0.15894826,0.43842915,0.734375,0.79296875,1646722260,472
193,0.02720443,0.15586877,0.54207337,0.80078125,0.734375,1646722262,474
194,0.03222259,0.15537891,0.42690945,0.71484375,0.86328125,1646722264,476
195,0.031243106,0.1682567,0.67206323,0.8984375,0.62109375,1646722267,479
196,0.029325854,0.15715867,0.43286368,0.671875,0.890625,1646722269,481
197,0.028932765,0.15867414,0.44989917,0.66015625,0.85546875,1646722271,483
198,0.026217312,0.16783056,0.43426105,0.65625,0.8515625,1646722273,485
199,0.024914859,0.14405546,0.54466563,0.83984375,0.734375,1646722275,487
