epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.12721466,0.40480924,0.20233941,0.3203125,0.68359375,1646725834,78
1,0.088525474,0.2038768,0.33561882,0.76953125,0.359375,1646725835,80
2,0.06998448,0.22083211,0.2931687,0.67578125,0.33984375,1646725837,82
3,0.07350233,0.21221858,0.3111355,0.84765625,0.18359375,1646725839,84
4,0.06305712,0.21082711,0.29823217,0.69140625,0.390625,1646725841,86
5,0.065642245,0.23529726,0.26808566,0.44140625,0.58203125,1646725843,88
6,0.07913297,0.21042076,0.34213588,0.92578125,0.07421875,1646725844,89
7,0.07673813,0.2075201,0.3061258,0.8203125,0.21875,1646725846,91
8,0.051192503,0.20979652,0.32706285,0.94140625,0.046875,1646725848,93
9,0.06436505,0.20878705,0.35822654,0.98828125,0.015625,1646725850,95
10,0.057187896,0.20649466,0.32958144,0.97265625,0.04296875,1646725852,97
11,0.051103584,0.21010822,0.25454748,0.546875,0.46484375,1646725854,98
12,0.047524914,0.21682698,0.26997918,0.65625,0.328125,1646725856,100
13,0.06314197,0.20566058,0.3226941,0.9765625,0.015625,1646725857,102
14,0.04197304,0.20842287,0.3344693,0.99609375,0.00390625,1646725859,104
15,0.04362783,0.21102335,0.3021644,0.8984375,0.09375,1646725861,106
16,0.04584372,0.21024156,0.30778933,0.984375,0.0078125,1646725863,108
17,0.05800038,0.20733069,0.3646848,0.9921875,0.00390625,1646725865,109
