epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.12979326,0.2160223,0.31575933,0.6328125,0.4296875,1646726792,83
1,0.09314682,0.21149161,0.33358058,0.796875,0.296875,1646726794,85
2,0.071017765,0.20843026,0.28789112,0.63671875,0.48046875,1646726796,87
3,0.07713836,0.21921578,0.2436341,0.453125,0.56640625,1646726798,90
4,0.06393873,0.21105221,0.30473268,0.7421875,0.28125,1646726800,92
5,0.06716022,0.2131544,0.2667708,0.53515625,0.46484375,1646726802,94
6,0.08293573,0.20790187,0.3343477,0.69140625,0.34375,1646726804,96
7,0.07726591,0.21263239,0.27281272,0.55078125,0.51171875,1646726806,98
8,0.053253558,0.20908444,0.3297298,0.93359375,0.0703125,1646726808,100
9,0.065645665,0.2058863,0.35167888,0.94921875,0.0625,1646726810,101
10,0.05886003,0.21648687,0.41464064,0.984375,0.015625,1646726812,103
11,0.051547706,0.20605767,0.26000643,0.57421875,0.53125,1646726814,105
12,0.048528504,0.21490604,0.30443096,0.88671875,0.12890625,1646726816,108
13,0.064118214,0.20730662,0.33208406,0.94921875,0.046875,1646726818,110
14,0.041663785,0.20893723,0.31798553,0.92578125,0.0703125,1646726820,112
15,0.043440383,0.21062279,0.28378892,0.8125,0.16796875,1646726822,114
16,0.04710762,0.20825766,0.30904436,0.9375,0.0859375,1646726824,116
17,0.057989433,0.2045419,0.32517904,0.98828125,0.0234375,1646726826,118
18,0.04691566,0.22012387,0.33213672,0.88671875,0.05078125,1646726828,120
19,0.04325558,0.2190744,0.25416744,0.51171875,0.4609375,1646726830,122
20,0.045319237,0.20027207,0.31400168,0.9765625,0.015625,1646726832,124
21,0.03671802,0.20563762,0.30047476,0.9921875,0.01953125,1646726834,126
22,0.045567032,0.20787035,0.31573695,0.98828125,0.01171875,1646726836,128
23,0.047736835,0.20967078,0.33983985,0.99609375,0.0234375,1646726838,130
24,0.04674547,0.2107858,0.29986793,0.8125,0.08203125,1646726841,132
25,0.0513322,0.20611441,0.31973785,0.9765625,0.02734375,1646726843,134
26,0.035768043,0.21073198,0.3052689,0.97265625,0.03125,1646726845,136
27,0.04161205,0.20275696,0.3011148,0.9921875,0.01171875,1646726847,138
28,0.03982567,0.20388499,0.3092907,0.98046875,0.046875,1646726848,140
29,0.0381508,0.20693752,0.30914456,0.9765625,0.01953125,1646726851,142
30,0.043148108,0.21253163,0.30192313,0.9921875,0.00390625,1646726853,144
31,0.04030641,0.2080899,0.30512106,0.9375,0.0859375,1646726855,146
32,0.047718555,0.20727062,0.2881427,0.9375,0.08203125,1646726857,148
33,0.040872604,0.21096775,0.30219513,1.0,0.0,1646726859,150
34,0.04320606,0.20964926,0.3178737,1.0,0.0,1646726861,152
35,0.047580592,0.20693566,0.30036962,0.99609375,0.0,1646726863,155
36,0.034527715,0.20724618,0.30859867,1.0,0.01171875,1646726865,157
37,0.039821874,0.20844348,0.30879813,0.98828125,0.015625,1646726867,159
38,0.035502866,0.2081683,0.30009162,1.0,0.00390625,1646726869,161
39,0.031302452,0.20330408,0.32289597,1.0,0.0,1646726872,163
40,0.037952196,0.20624298,0.30450755,1.0,0.0,1646726874,165
41,0.032296736,0.20920879,0.29987645,1.0,0.0,1646726876,167
42,0.03579465,0.21247575,0.29624683,0.99609375,0.00390625,1646726878,170
43,0.038280714,0.2096827,0.29326937,1.0,0.0,1646726880,172
44,0.032006983,0.20815615,0.30188462,1.0,0.0,1646726882,173
45,0.036331624,0.20324063,0.30079478,1.0,0.0,1646726884,176
46,0.031298593,0.20721796,0.3017297,1.0,0.0,1646726886,178
47,0.03711615,0.20791635,0.31338388,1.0,0.0,1646726888,180
48,0.038190536,0.21162094,0.29535848,1.0,0.0,1646726890,182
49,0.03888333,0.21172917,0.3008656,1.0,0.0,1646726893,184
50,0.036931537,0.20502925,0.30383778,1.0,0.0,1646726895,186
51,0.031869996,0.20607854,0.30204618,1.0,0.0,1646726897,189
52,0.03599176,0.20292202,0.30667713,1.0,0.0,1646726899,190
53,0.03902524,0.20677617,0.30578685,1.0,0.0,1646726901,193
54,0.031920187,0.20715967,0.3035205,1.0,0.0,1646726903,195
55,0.03246806,0.20685469,0.30039212,1.0,0.0,1646726905,197
56,0.030997857,0.21101809,0.29752168,1.0,0.0,1646726907,199
57,0.031880826,0.2088955,0.30624083,1.0,0.0,1646726909,201
