epoch,decorrelation/decoder_loss,decorrelation/discriminator_loss,decorrelation/encoder_loss,decorrelation/fake_accuracy,decorrelation/real_accuracy,_timestamp,_runtime
0,0.12866542,0.41708094,0.20811993,0.3125,0.734375,1646727026,93
1,0.091717325,0.24816586,0.29727057,0.70703125,0.39453125,1646727028,95
2,0.072559565,0.28612736,0.196506,0.296875,0.6015625,1646727030,98
3,0.07775673,0.25656858,0.24066171,0.37890625,0.6484375,1646727032,100
4,0.064248584,0.26940006,0.21601479,0.375,0.62890625,1646727034,102
5,0.06617911,0.25445718,0.28027165,0.61328125,0.3984375,1646727037,104
6,0.080484174,0.25410646,0.26030934,0.5078125,0.49609375,1646727039,107
7,0.077071875,0.2542766,0.2467719,0.4296875,0.5703125,1646727041,109
8,0.05367612,0.25740552,0.20868555,0.26953125,0.73828125,1646727043,111
9,0.06428444,0.25378117,0.26440272,0.5859375,0.4453125,1646727045,113
10,0.058357775,0.24634643,0.28864244,0.66015625,0.4453125,1646727048,115
11,0.05155903,0.25575426,0.21607691,0.2890625,0.73046875,1646727050,118
12,0.048159402,0.24630734,0.25804403,0.58984375,0.515625,1646727052,120
13,0.06603977,0.267249,0.3740505,0.6640625,0.34375,1646727055,123
14,0.0410504,0.25248572,0.2359977,0.3203125,0.6796875,1646727057,125
15,0.04360137,0.25079158,0.24873312,0.44140625,0.5546875,1646727059,127
16,0.04687588,0.24960041,0.24756545,0.4375,0.57421875,1646727061,129
17,0.05883728,0.24604604,0.2642216,0.60546875,0.52734375,1646727064,131
18,0.047695637,0.24722686,0.289578,0.7421875,0.33984375,1646727066,133
19,0.043652117,0.24152939,0.28754416,0.625,0.5078125,1646727068,135
20,0.04638448,0.25166112,0.26249722,0.5703125,0.40234375,1646727070,137
21,0.03646721,0.24667487,0.25774515,0.56640625,0.56640625,1646727072,140
22,0.045793798,0.25703365,0.25204936,0.5078125,0.4453125,1646727074,142
23,0.048478045,0.24946794,0.2586698,0.58984375,0.4296875,1646727076,144
24,0.043692913,0.24522528,0.25897837,0.609375,0.5234375,1646727078,146
25,0.04949653,0.2553815,0.22502334,0.22265625,0.75390625,1646727080,148
26,0.036860235,0.25038195,0.2616948,0.56640625,0.421875,1646727082,150
27,0.041577037,0.2536164,0.24194062,0.3203125,0.6484375,1646727084,152
28,0.038698163,0.25280812,0.24623974,0.3984375,0.55078125,1646727087,154
29,0.03798487,0.24701318,0.25445676,0.44921875,0.62109375,1646727089,156
30,0.043402236,0.2514276,0.24980874,0.44140625,0.52734375,1646727091,158
31,0.03993684,0.24966462,0.259096,0.6171875,0.421875,1646727093,161
32,0.046710365,0.24891624,0.22425175,0.17578125,0.87109375,1646727095,163
33,0.041600205,0.24848433,0.25185543,0.546875,0.5390625,1646727097,165
34,0.04240058,0.24925286,0.2539152,0.6015625,0.46484375,1646727099,167
35,0.048897907,0.24875459,0.25138512,0.48046875,0.58203125,1646727101,169
36,0.034999385,0.25060943,0.25285453,0.578125,0.390625,1646727103,171
37,0.038507394,0.24930482,0.25232124,0.48828125,0.5625,1646727106,173
38,0.035289176,0.25049484,0.24707483,0.3984375,0.578125,1646727108,175
39,0.031528335,0.2501044,0.25544417,0.69921875,0.30859375,1646727110,178
40,0.036645703,0.2508613,0.22885944,0.078125,0.92578125,1646727112,180
41,0.0321602,0.250449,0.24679358,0.3359375,0.64453125,1646727114,182
42,0.035421602,0.24969237,0.25729638,0.59375,0.4609375,1646727116,184
43,0.038829345,0.2498033,0.2481148,0.3203125,0.6953125,1646727118,186
44,0.031804066,0.2500417,0.25207785,0.5703125,0.42578125,1646727120,188
45,0.03661459,0.2501573,0.2492284,0.34765625,0.6328125,1646727122,190
46,0.03134636,0.24988507,0.25458837,0.6328125,0.39453125,1646727124,192
47,0.035955288,0.24991769,0.253758,0.64453125,0.37890625,1646727127,194
48,0.04009743,0.25008094,0.24814217,0.265625,0.72265625,1646727129,196
49,0.038332924,0.24990791,0.2575528,0.74609375,0.26953125,1646727131,198
50,0.036136758,0.25014657,0.25693434,0.6875,0.30859375,1646727133,201
51,0.03173159,0.24987903,0.24594851,0.27734375,0.73828125,1646727135,203
52,0.036820717,0.24996378,0.2506322,0.41796875,0.59375,1646727137,205
53,0.03807416,0.2500593,0.2566004,0.6875,0.30859375,1646727139,207
54,0.030867076,0.25005984,0.25138205,0.46484375,0.53515625,1646727141,209
55,0.031863037,0.25002193,0.2524386,0.55859375,0.45703125,1646727143,211
56,0.031941727,0.24994494,0.25013927,0.41796875,0.58984375,1646727145,213
57,0.031558942,0.2500286,0.25450954,0.73828125,0.2578125,1646727147,215
